Months
month|year|served_fudge|consumed_fudge|table_size|PO_index|num_at_meeting|staff_at_breakfast|tickets_claimed
    1|2024|            |              |         8|        |              |                  |               
    2|2024|            |              |         8|        |              |                  |             99
    3|2024|            |              |         8|        |            21|                12|             70
    4|2024|            |              |         8|        |            12|                 9|             42
   10|2024|            |              |         8|        |              |                  |               
   11|2024|            |              |         8|        |             8|                11|             44
   12|2024|            |              |         8|        |             9|                11|             48
    1|2025|            |              |         8|        |            12|                13|             54
    2|2025|            |              |         8|        |            12|                10|             64
    3|2025|            |              |         8|        |             9|                10|             59
    4|2025|            |              |         8|        |             8|                11|             37
   10|2025|            |              |         8|        |             5|                  |               
   11|2025|        60.0|          80.0|         8|        |            14|                14|             61
   12|2025|        1.44|           0.9|         8|        |            13|                 8|             54
    1|2026|        1.35|           0.9|         8|        |            14|                12|             64
    2|2026|        1.35|           0.9|         8|        |            15|                13|             93
    3|2026|        1.35|           0.9|         8|        |            15|                13|             64
    4|2026|        1.25|           0.9|         8|        |             9|                 8|             36

Inv_checklist
item          |num_pkgs|num_units
Bacon         |     2.0|         
Coffee Creamer|        |    150.0
Eggs          |     2.5|         
Milk          |        |      0.0
OJ cups       |        |     40.0
Orange Juice  |     2.0|         
Pancake Mix   |     2.0|         
Paper Towels  |        |      2.0
Sausage       |     2.0|         
Serving Plates|        |    180.0

Orders
item|qty|supplier|supplier_id|purchased_pkgs|purchased_units|location|price

Items
item                |unit         |perishable|supplier|supplier_id|num_per_meal|num_per_table|num_per_serving
Aprons              |ea           |     False|Walmart |          1|            |             |               
Bacon               |slice        |      True|Sams    |          1|            |             |           1.36
Bowls               |ea           |     False|Sams    |          1|            |          3.0|            0.0
Butter              |chip         |     False|Gordon  |          1|            |         12.0|            1.0
Coffee Creamer      |ea           |     False|Sams    |          2|            |         10.0|            1.6
Coffee Stirrer 5"   |ea           |     False|Gordon  |          1|            |         10.0|            1.6
Coffee Stirrer 7"   |ea           |     False|Walmart |          1|            |             |               
Coffee cups, 10 oz  |ea           |     False|Sams    |          1|            |             |               
Coffee cups, 12 oz  |ea           |     False|Sams    |          1|            |             |               
Coffee cups, 8 oz   |ea           |     False|Sams    |          1|            |         10.0|            0.5
Coffee, ground      |cup of coffee|     False|Sams    |          1|        70.0|             |               
Cutlery Packets     |ea           |     False|Sams    |          1|            |         10.0|            1.0
Eggs                |ea           |      True|Sams    |          1|            |             |            2.2
Gloves              |pair         |     False|Walmart |          1|        10.0|             |               
Grill Cleaning Brick|ea           |     False|Amazon  |          1|         0.1|             |               
Ketchup             |oz           |     False|Walmart |          1|         4.0|             |               
Milk                |oz           |      True|Walmart |          1|        32.0|             |               
Nonstick Spray      |can          |     False|Sams    |          1|         1.0|             |           0.01
OJ cups             |ea           |     False|Sams    |          1|            |         10.0|            1.0
Orange Juice        |oz           |      True|Sams    |          1|            |             |            4.5
Pancake Mix         |3x4"         |     False|Sams    |          1|            |             |           1.67
Paper Towels        |roll         |     False|Walmart |          1|         1.0|             |               
Place Mats          |ea           |     False|Gordon  |          1|            |         10.0|            1.0
Raffle Tickets      |ea           |     False|Walmart |          1|            |             |            6.8
Rubber Bands        |ea           |     False|Walmart |          1|            |             |               
Sausage             |ea           |      True|Walmart |          1|            |             |           1.42
Scrubbers           |ea           |     False|Sams    |          1|         1.0|             |               
Serving Plates      |ea           |     False|Sams    |          1|            |             |            1.0
Small Plates        |ea           |     False|Sams    |          1|            |             |               
Splenda             |ea           |     False|Sams    |          1|            |          5.0|           0.33
Sugar               |ea           |     False|Sams    |          1|            |          5.0|           0.33
Sweet'N Low         |ea           |     False|Sams    |          1|            |          5.0|           0.33
Syrup bottle, SF    |bottle       |     False|Walmart |          1|            |          1.0|           0.06
Syrup bottle, reg   |bottle       |     False|Walmart |          1|            |          1.0|           0.07
Syrup, reg          |oz           |     False|Walmart |          1|            |             |           1.67
Syrup, sugar free   |oz           |     False|Walmart |          1|            |             |           1.67
Tea                 |bag          |     False|Sams    |          1|            |             |            0.1
To-Go Containers    |ea           |     False|Sams    |          1|            |             |           0.08

Products
item                |supplier|supplier_id|name                                                                                                                                                                                                 |item_num |location |price|pkg_size|pkg_weight|note                                                                       
Dec 13, 25|consumed |Place Mats          |     0.0|       62|          7
Dec 13, 25|consumed |Raffle Tickets      |     0.0|      141|         15
Dec 13, 25|consumed |Scrubbers           |     0.0|        1|          1
Dec 13, 25|consumed |Serving Plates      |     0.0|       62|          7
Dec 13, 25|consumed |Splenda             |     0.0|       20|          2
Dec 13, 25|consumed |Sugar               |     0.0|       20|          2
Dec 13, 25|consumed |Sweet'N Low         |     0.0|       20|          2
Dec 13, 25|consumed |Syrup bottle, SF    |     0.0|        4|          1
Dec 13, 25|consumed |Syrup bottle, reg   |     0.0|        4|          1
Dec 13, 25|consumed |Syrup, reg          |     0.0|      104|         11
Dec 13, 25|consumed |Syrup, sugar free   |     0.0|      104|         11
Dec 13, 25|consumed |Tea                 |     0.0|        6|          1
Dec 13, 25|consumed |To-Go Containers    |     0.0|        5|          1
Dec 17, 25|estimate |Bacon               |     0.0|       53|         17
Dec 17, 25|estimate |Bowls               |     0.0|      150|          0
Dec 17, 25|estimate |Butter              |     0.0|      107|         10
Dec 17, 25|estimate |Coffee Creamer      |     0.0|      240|          7
Dec 17, 25|estimate |Coffee Stirrer 5"   |     0.0|      338|          7
Dec 17, 25|estimate |Coffee Stirrer 7"   |     0.0|        0|          0
Dec 17, 25|estimate |Coffee cups, 10 oz  |     0.0|        0|          0
Dec 17, 25|estimate |Coffee cups, 12 oz  |     0.0|        0|          0
Dec 17, 25|estimate |Coffee cups, 8 oz   |     0.0|      188|          7
Dec 17, 25|estimate |Coffee, ground      |     0.0|      312|         12
Dec 17, 25|estimate |Cutlery Packets     |     0.0|       88|          7
Dec 17, 25|estimate |Eggs                |     0.0|      132|         18
Dec 17, 25|estimate |Gloves              |     0.0|      680|          1
Dec 17, 25|estimate |Grill Cleaning Brick|     0.0|        2|          0
Dec 17, 25|estimate |Milk                |     0.0|       76|          4
Dec 17, 25|estimate |Nonstick Spray      |     0.0|       17|          1
Dec 17, 25|estimate |OJ cups             |     0.0|      218|         17
Dec 17, 25|estimate |Orange Juice        |     0.0|      137|         28
Dec 17, 25|estimate |Pancake Mix         |     0.0|      186|         11
Dec 17, 25|estimate |Paper Towels        |     0.0|        5|          1
Dec 17, 25|estimate |Place Mats          |     0.0|     1238|          7
Dec 17, 25|estimate |Raffle Tickets      |     0.0|     1825|        212
Dec 17, 25|estimate |Rubber Bands        |     0.0|        0|          0
Dec 17, 25|estimate |Scrubbers           |     0.0|        5|          1
Dec 17, 25|estimate |Serving Plates      |     0.0|       83|          7
Dec 17, 25|estimate |Small Plates        |     0.0|        0|          0
Dec 17, 25|estimate |Splenda             |     0.0|     1380|          2
Dec 17, 25|estimate |Sugar               |     0.0|       70|          2
Dec 17, 25|estimate |Sweet'N Low         |     0.0|     1580|          2
Dec 17, 25|estimate |Syrup bottle, SF    |     0.0|       19|          1
Dec 17, 25|estimate |Syrup bottle, reg   |     0.0|       19|          1
Dec 17, 25|estimate |Syrup, reg          |     0.0|      133|         35
Dec 17, 25|estimate |Syrup, sugar free   |     0.0|      133|         35
Dec 17, 25|estimate |Tea                 |     0.0|       64|          1
Dec 17, 25|estimate |To-Go Containers    |     0.0|      140|          1
Dec 30, 25|count    |Bacon               |     1.0|        0|          0
Dec 30, 25|count    |Butter              |    0.66|        0|          0
Dec 30, 25|count    |Coffee Creamer      |     0.5|        0|          0
Dec 30, 25|count    |Coffee Stirrer 5"   |     0.0|      300|          0
Dec 30, 25|count    |Coffee cups, 8 oz   |     0.0|      220|          0
Dec 30, 25|count    |Coffee, ground      |     1.0|        0|          0
Dec 30, 25|count    |Eggs                |     7.0|        0|          0
Dec 30, 25|count    |Milk                |    0.75|        0|          0
Dec 30, 25|count    |OJ cups             |     0.0|      210|          0
Dec 30, 25|count    |Orange Juice        |     2.0|        0|          0
Dec 30, 25|count    |Pancake Mix         |    5.83|        0|          0
Dec 30, 25|count    |Paper Towels        |     0.0|        2|          0
Dec 30, 25|count    |Raffle Tickets      |     0.0|     1247|          0
Dec 30, 25|count    |Serving Plates      |     0.0|        0|          0
Dec 30, 25|count    |Syrup bottle, SF    |    23.0|        0|          0
Dec 30, 25|count    |Syrup bottle, reg   |    19.0|        0|          0
Jan 10, 26|consumed |Bacon               |     0.0|      200|         40
Jan 10, 26|consumed |Butter              |     0.0|      114|         23
Jan 10, 26|consumed |Coffee Creamer      |     0.0|       76|         16
Jan 10, 26|consumed |Coffee Stirrer 5"   |     0.0|       76|         16
Jan 10, 26|consumed |Coffee cups, 8 oz   |     0.0|       76|         16
Jan 10, 26|consumed |Coffee, ground      |     0.0|      120|         24
Jan 10, 26|consumed |Cutlery Packets     |     0.0|       76|         16
Jan 10, 26|consumed |Eggs                |     0.0|      220|         44
Jan 10, 26|consumed |Gloves              |     0.0|       10|          2
Jan 10, 26|consumed |Milk                |     0.0|       48|         10
Jan 10, 26|consumed |Nonstick Spray      |     0.0|        1|          1
Jan 10, 26|consumed |OJ cups             |     0.0|       76|         16
Jan 10, 26|consumed |Orange Juice        |     0.0|      342|         69
Jan 10, 26|consumed |Pancake Mix         |     0.0|      127|         26
Jan 10, 26|consumed |Paper Towels        |     0.0|        1|          1
Jan 10, 26|consumed |Place Mats          |     0.0|       76|         16
Jan 10, 26|consumed |Raffle Tickets      |     0.0|      173|         35
Jan 10, 26|consumed |Sausage             |     0.0|      160|         32
Jan 10, 26|consumed |Scrubbers           |     0.0|        1|          1
Jan 10, 26|consumed |Serving Plates      |     0.0|       76|         16
Jan 10, 26|consumed |Splenda             |     0.0|       25|          5
Jan 10, 26|consumed |Sugar               |     0.0|       25|          5
Jan 10, 26|consumed |Sweet'N Low         |     0.0|       25|          5
Jan 10, 26|consumed |Syrup bottle, SF    |     0.0|        5|          1
Jan 10, 26|consumed |Syrup bottle, reg   |     0.0|        5|          1
Jan 10, 26|consumed |Syrup, reg          |     0.0|      127|         26
Jan 10, 26|consumed |Syrup, sugar free   |     0.0|      127|         26
Jan 10, 26|consumed |Tea                 |     0.0|        8|          2
Jan 10, 26|consumed |To-Go Containers    |     0.0|        6|          2
Jan 11, 26|purchased|Bacon               |     3.0|        0|          0
Jan 11, 26|purchased|Coffee Creamer      |     1.0|        0|          0
Jan 11, 26|purchased|Eggs                |     6.0|        0|          0
Jan 11, 26|purchased|Orange Juice        |     3.0|        0|          0
Jan 11, 26|purchased|Sausage             |     3.0|        0|          0
Jan 25, 26|estimate |Aprons              |     0.0|        0|          0
Jan 25, 26|estimate |Bacon               |     0.0|       88|         40
Jan 25, 26|estimate |Bowls               |     0.0|      150|          0
Jan 25, 26|estimate |Butter              |     0.0|       18|         23
Jan 25, 26|estimate |Coffee Creamer      |     0.0|      194|         16
Jan 25, 26|estimate |Coffee Stirrer 5"   |     0.0|      224|         16
Jan 25, 26|estimate |Coffee Stirrer 7"   |     0.0|        0|          0
Jan 25, 26|estimate |Coffee cups, 10 oz  |     0.0|        0|          0
Jan 25, 26|estimate |Coffee cups, 12 oz  |     0.0|        0|          0
Jan 25, 26|estimate |Coffee cups, 8 oz   |     0.0|      144|         16
Jan 25, 26|estimate |Coffee, ground      |     0.0|      240|         24
Jan 25, 26|estimate |Cutlery Packets     |     0.0|       12|         23
Jan 25, 26|estimate |Eggs                |     0.0|       92|         44
Jan 25, 26|estimate |Gloves              |     0.0|      670|          3
Jan 25, 26|estimate |Grill Cleaning Brick|     0.0|        2|          0
Jan 25, 26|estimate |Milk                |     0.0|        0|         10
Jan 25, 26|estimate |Nonstick Spray      |     0.0|       16|          2
Jan 25, 26|estimate |OJ cups             |     0.0|      134|         16
Jan 25, 26|estimate |Orange Juice        |     0.0|      178|         69
Jan 25, 26|estimate |Pancake Mix         |     0.0|      106|         26
Jan 25, 26|estimate |Paper Towels        |     0.0|        1|          1
Jan 25, 26|estimate |Place Mats          |     0.0|     1162|         23
Jan 25, 26|estimate |Raffle Tickets      |     0.0|     1074|         35
Jan 25, 26|estimate |Rubber Bands        |     0.0|        0|          0
Jan 25, 26|estimate |Sausage             |     0.0|      -10|         32
Jan 25, 26|estimate |Scrubbers           |     0.0|        4|          2
Jan 25, 26|estimate |Serving Plates      |     0.0|      -76|         16
Jan 25, 26|estimate |Small Plates        |     0.0|        0|          0
Jan 25, 26|estimate |Splenda             |     0.0|     1355|          7
Jan 25, 26|estimate |Sugar               |     0.0|       45|          7
Jan 25, 26|estimate |Sweet'N Low         |     0.0|     1555|          7
Jan 25, 26|estimate |Syrup bottle, SF    |     0.0|       18|          1
Jan 25, 26|estimate |Syrup bottle, reg   |     0.0|       14|          1
Jan 25, 26|estimate |Syrup, reg          |     0.0|        6|         61
Jan 25, 26|estimate |Syrup, sugar free   |     0.0|        6|         61
Jan 25, 26|estimate |Tea                 |     0.0|       56|          3
Jan 25, 26|estimate |To-Go Containers    |     0.0|      134|          3
Jan 26, 26|count    |Bacon               |     1.5|        0|          0
Jan 26, 26|count    |Butter              |     0.0|       60|          0
Jan 26, 26|count    |Coffee Creamer      |     0.0|      151|          0
Jan 26, 26|count    |Coffee, ground      |  0.8333|        0|          0
Jan 26, 26|count    |Cutlery Packets     |    0.67|        0|          0
Jan 26, 26|count    |Eggs                |     6.0|        0|          0
Jan 26, 26|count    |Milk                |    0.67|        0|          0
Jan 26, 26|count    |OJ cups             |     0.0|      200|          0
Jan 26, 26|count    |Orange Juice        |     1.0|        0|          0
Jan 26, 26|count    |Pancake Mix         |    4.25|        0|          0
Jan 26, 26|count    |Paper Towels        |     0.0|        2|          0
Jan 26, 26|count    |Sausage             |     1.0|        0|          0
Jan 26, 26|count    |Serving Plates      |     0.0|       45|          0
Jan 26, 26|count    |Sugar               |     0.0|       67|          0
Jan 26, 26|count    |Syrup, reg          |    18.0|        0|          0
Jan 26, 26|count    |Syrup, sugar free   |    22.0|        0|          0
Feb 10, 26|purchased|Bacon               |     3.0|        0|          0
Feb 10, 26|purchased|Butter              |     1.0|        0|          0
Feb 10, 26|purchased|Eggs                |     4.0|        0|          0
Feb 10, 26|purchased|Ketchup             |     1.0|        0|          0
Feb 10, 26|purchased|Orange Juice        |     4.0|        0|          0
Feb 10, 26|purchased|Sausage             |     4.0|        0|          0
Feb 10, 26|purchased|Serving Plates      |     1.0|        0|          0
Feb 14, 26|consumed |Bacon               |     0.0|      279|         56
Feb 14, 26|consumed |Butter              |     0.0|      159|         32
Feb 14, 26|consumed |Coffee Creamer      |     0.0|      106|         22
Feb 14, 26|consumed |Coffee Stirrer 5"   |     0.0|      106|         22
Feb 14, 26|consumed |Coffee cups, 8 oz   |     0.0|      106|         22
Feb 14, 26|consumed |Coffee, ground      |     0.0|      120|         24
Feb 14, 26|consumed |Cutlery Packets     |     0.0|      106|         22
Feb 14, 26|consumed |Eggs                |     0.0|      307|         62
Feb 14, 26|consumed |Gloves              |     0.0|       10|          2
Feb 14, 26|consumed |Ketchup             |     0.0|        4|          1
Feb 14, 26|consumed |Milk                |     0.0|       67|         14
Feb 14, 26|consumed |Nonstick Spray      |     0.0|        1|          1
Feb 14, 26|consumed |OJ cups             |     0.0|      106|         22
Feb 14, 26|consumed |Orange Juice        |     0.0|      477|         96
Feb 14, 26|consumed |Pancake Mix         |     0.0|      177|         36
Feb 14, 26|consumed |Paper Towels        |     0.0|        1|          1
Feb 14, 26|consumed |Place Mats          |     0.0|      106|         22
Feb 14, 26|consumed |Raffle Tickets      |     0.0|      241|         49
Feb 14, 26|consumed |Sausage             |     0.0|      223|         45
Feb 14, 26|consumed |Scrubbers           |     0.0|        1|          1
Feb 14, 26|consumed |Serving Plates      |     0.0|      106|         22
Feb 14, 26|consumed |Splenda             |     0.0|       35|          7
Feb 14, 26|consumed |Sugar               |     0.0|       35|          7
Feb 14, 26|consumed |Sweet'N Low         |     0.0|       35|          7
Feb 14, 26|consumed |Syrup bottle, SF    |     0.0|        7|          2
Feb 14, 26|consumed |Syrup bottle, reg   |     0.0|        7|          2
Feb 14, 26|consumed |Syrup, reg          |     0.0|      177|         36
Feb 14, 26|consumed |Syrup, sugar free   |     0.0|      177|         36
Feb 14, 26|consumed |Tea                 |     0.0|       11|          3
Feb 14, 26|consumed |To-Go Containers    |     0.0|        8|          2
Mar 03, 26|estimate |Aprons              |     0.0|        0|          0
Mar 03, 26|estimate |Bacon               |     0.0|       45|         56
Mar 03, 26|estimate |Bowls               |     0.0|      150|          0
Mar 03, 26|estimate |Butter              |     0.0|      101|         32
Mar 03, 26|estimate |Coffee Creamer      |     0.0|       45|         22
Mar 03, 26|estimate |Coffee Stirrer 5"   |     0.0|      118|         38
Mar 03, 26|estimate |Coffee Stirrer 7"   |     0.0|        0|          0
Mar 03, 26|estimate |Coffee cups, 10 oz  |     0.0|        0|          0
Mar 03, 26|estimate |Coffee cups, 12 oz  |     0.0|        0|          0
Mar 03, 26|estimate |Coffee cups, 8 oz   |     0.0|       38|         38
Mar 03, 26|estimate |Coffee, ground      |     0.0|      179|         24
Mar 03, 26|estimate |Cutlery Packets     |     0.0|       28|         22
Mar 03, 26|estimate |Eggs                |     0.0|      -67|         62
Mar 03, 26|estimate |Gloves              |     0.0|      660|          5
Mar 03, 26|estimate |Grill Cleaning Brick|     0.0|        2|          0
Mar 03, 26|estimate |Ketchup             |     0.0|       10|          1
Mar 03, 26|estimate |Milk                |     0.0|      -24|         14
Mar 03, 26|estimate |Nonstick Spray      |     0.0|       15|          3
Mar 03, 26|estimate |OJ cups             |     0.0|       94|         22
Mar 03, 26|estimate |Orange Juice        |     0.0|       43|         96
Mar 03, 26|estimate |Pancake Mix         |     0.0|       -7|         36
Mar 03, 26|estimate |Paper Towels        |     0.0|        1|          1
Mar 03, 26|estimate |Place Mats          |     0.0|     1056|         45
Mar 03, 26|estimate |Raffle Tickets      |     0.0|      833|         84
Mar 03, 26|estimate |Rubber Bands        |     0.0|        0|          0
Mar 03, 26|estimate |Sausage             |     0.0|       27|         45
Mar 03, 26|estimate |Scrubbers           |     0.0|        3|          3
Mar 03, 26|estimate |Serving Plates      |     0.0|      139|         22
Mar 03, 26|estimate |Small Plates        |     0.0|        0|          0
Mar 03, 26|estimate |Splenda             |     0.0|     1320|         14
Mar 03, 26|estimate |Sugar               |     0.0|       32|          7
Mar 03, 26|estimate |Sweet'N Low         |     0.0|     1520|         14
Mar 03, 26|estimate |Syrup bottle, SF    |     0.0|       11|          3
Mar 03, 26|estimate |Syrup bottle, reg   |     0.0|        7|          3
Mar 03, 26|estimate |Syrup, reg          |     0.0|      255|         36
Mar 03, 26|estimate |Syrup, sugar free   |     0.0|      351|         36
Mar 03, 26|estimate |Tea                 |     0.0|       45|          6
Mar 03, 26|estimate |To-Go Containers    |     0.0|      126|          5
Mar 11, 26|count    |Bacon               |     2.5|        0|          0
Mar 11, 26|count    |Butter              |     1.0|        0|          0
Mar 11, 26|count    |Coffee Creamer      |     0.7|        0|          0
Mar 11, 26|count    |Coffee Stirrer 5"   |     0.5|        0|          0
Mar 11, 26|count    |Coffee cups, 8 oz   |     0.0|      176|          0
Mar 11, 26|count    |Cutlery Packets     |     1.0|        0|          0
Mar 11, 26|count    |Eggs                |     1.0|        0|          0
Mar 11, 26|count    |Milk                |     0.0|        0|          0
Mar 11, 26|count    |OJ cups             |     0.0|      200|          0
Mar 11, 26|count    |Orange Juice        |     1.0|        0|          0
Mar 11, 26|count    |Paper Towels        |     0.0|        2|          0
Mar 11, 26|count    |Raffle Tickets      |     0.0|        0|          0
Mar 11, 26|count    |Sausage             |     2.0|        0|          0
Mar 11, 26|count    |Sugar               |     0.9|        0|          0
Mar 11, 26|count    |Syrup bottle, SF    |     0.0|       12|          0
Mar 11, 26|count    |Syrup bottle, reg   |     0.0|       12|          0
Mar 13, 26|purchased|Bacon               |     2.0|        0|          0
Mar 13, 26|purchased|Eggs                |     7.0|        0|          0
Mar 13, 26|purchased|Milk                |     1.0|        0|          0
Mar 13, 26|purchased|Orange Juice        |     4.0|        0|          0
Mar 13, 26|purchased|Pancake Mix         |     1.0|        0|          0
Mar 13, 26|purchased|Raffle Tickets      |     1.0|        0|          0
Mar 13, 26|purchased|Sausage             |     2.0|        0|          0
Mar 13, 26|purchased|Syrup bottle, SF    |     2.0|        0|          0
Mar 13, 26|purchased|Syrup bottle, reg   |     2.0|        0|          0
Mar 14, 26|consumed |Bacon               |     0.0|      105|         21
Mar 14, 26|consumed |Butter              |     0.0|       77|         16
Mar 14, 26|consumed |Coffee Creamer      |     0.0|      123|         25
Mar 14, 26|consumed |Coffee Stirrer 5"   |     0.0|      123|         25
Mar 14, 26|consumed |Coffee cups, 8 oz   |     0.0|       38|          8
Mar 14, 26|consumed |Coffee, ground      |     0.0|       70|         14
Mar 14, 26|consumed |Cutlery Packets     |     0.0|       77|         16
Mar 14, 26|consumed |Eggs                |     0.0|      169|         34
Mar 14, 26|consumed |Gloves              |     0.0|       10|          2
Mar 14, 26|consumed |Ketchup             |     0.0|        4|          1
Mar 14, 26|consumed |Milk                |     0.0|       32|          7
Mar 14, 26|consumed |Nonstick Spray      |     0.0|        1|          1
Mar 14, 26|consumed |OJ cups             |     0.0|       77|         16
Mar 14, 26|consumed |Orange Juice        |     0.0|      346|         70
Mar 14, 26|consumed |Pancake Mix         |     0.0|      129|         26
Mar 14, 26|consumed |Paper Towels        |     0.0|        1|          1
Mar 14, 26|consumed |Place Mats          |     0.0|       77|         16
Mar 14, 26|consumed |Raffle Tickets      |     0.0|      524|        105
Mar 14, 26|consumed |Sausage             |     0.0|      109|         22
Mar 14, 26|consumed |Scrubbers           |     0.0|        1|          1
Mar 14, 26|consumed |Serving Plates      |     0.0|       77|         16
Mar 14, 26|consumed |Splenda             |     0.0|       25|          5
Mar 14, 26|consumed |Sugar               |     0.0|       25|          5
Mar 14, 26|consumed |Sweet'N Low         |     0.0|       25|          5
Mar 14, 26|consumed |Syrup bottle, SF    |     0.0|        5|          1
Mar 14, 26|consumed |Syrup bottle, reg   |     0.0|        5|          1
Mar 14, 26|consumed |Syrup, reg          |     0.0|      129|         26
Mar 14, 26|consumed |Syrup, sugar free   |     0.0|      129|         26
Mar 14, 26|consumed |Tea                 |     0.0|        8|          2
Mar 14, 26|consumed |To-Go Containers    |     0.0|        6|          2
Apr 03, 26|estimate |Aprons              |     0.0|        0|          0
Apr 03, 26|estimate |Bacon               |     0.0|      219|         21
Apr 03, 26|estimate |Bowls               |     0.0|      150|          0
Apr 03, 26|estimate |Butter              |     0.0|      123|         16
Apr 03, 26|estimate |Coffee Creamer      |     0.0|        2|         25
Apr 03, 26|estimate |Coffee Stirrer 5"   |     0.0|      377|         25
Apr 03, 26|estimate |Coffee Stirrer 7"   |     0.0|        0|          0
Apr 03, 26|estimate |Coffee cups, 10 oz  |     0.0|        0|          0
Apr 03, 26|estimate |Coffee cups, 12 oz  |     0.0|        0|          0
Apr 03, 26|estimate |Coffee cups, 8 oz   |     0.0|      138|          8
Apr 03, 26|estimate |Coffee, ground      |     0.0|      109|         38
Apr 03, 26|estimate |Cutlery Packets     |     0.0|      123|         16
Apr 03, 26|estimate |Eggs                |     0.0|       23|         34
Apr 03, 26|estimate |Gloves              |     0.0|      650|          7
Apr 03, 26|estimate |Grill Cleaning Brick|     0.0|        2|          0
Apr 03, 26|estimate |Ketchup             |     0.0|        6|          2
Apr 03, 26|estimate |Milk                |     0.0|       32|          7
Apr 03, 26|estimate |Nonstick Spray      |     0.0|       14|          4
Apr 03, 26|estimate |OJ cups             |     0.0|      123|         16
Apr 03, 26|estimate |Orange Juice        |     0.0|      174|         70
Apr 03, 26|estimate |Pancake Mix         |     0.0|      -59|         62
Apr 03, 26|estimate |Paper Towels        |     0.0|        1|          1
Apr 03, 26|estimate |Place Mats          |     0.0|      979|         61
Apr 03, 26|estimate |Raffle Tickets      |     0.0|     1476|        105
Apr 03, 26|estimate |Rubber Bands        |     0.0|        0|          0
Apr 03, 26|estimate |Sausage             |     0.0|       91|         22
Apr 03, 26|estimate |Scrubbers           |     0.0|        2|          4
Apr 03, 26|estimate |Serving Plates      |     0.0|       62|         38
Apr 03, 26|estimate |Small Plates        |     0.0|        0|          0
Apr 03, 26|estimate |Splenda             |     0.0|     1295|         19
Apr 03, 26|estimate |Sugar               |     0.0|     1775|          5
Apr 03, 26|estimate |Sweet'N Low         |     0.0|     1495|         19
Apr 03, 26|estimate |Syrup bottle, SF    |     0.0|        9|          1
Apr 03, 26|estimate |Syrup bottle, reg   |     0.0|        9|          1
Apr 03, 26|estimate |Syrup, reg          |     0.0|      126|         62
Apr 03, 26|estimate |Syrup, sugar free   |     0.0|      222|         62
Apr 03, 26|estimate |Tea                 |     0.0|       37|          8
Apr 03, 26|estimate |To-Go Containers    |     0.0|      120|          7
Apr 03, 26|count    |Bacon               |     2.0|        0|          0
Apr 03, 26|count    |Coffee Creamer      |     0.0|      150|          0
Apr 03, 26|count    |Eggs                |     2.5|        0|          0
Apr 03, 26|count    |Milk                |     0.0|        0|          0
Apr 03, 26|count    |OJ cups             |     0.0|       40|          0
Apr 03, 26|count    |Orange Juice        |     2.0|        0|          0
Apr 03, 26|count    |Pancake Mix         |     2.0|        0|          0
Apr 03, 26|count    |Paper Towels        |     0.0|        2|          0
Apr 03, 26|count    |Sausage             |     2.0|        0|          0
Apr 03, 26|count    |Serving Plates      |     0.0|      180|          0
Apr 10, 26|purchased|Eggs                |     3.0|        0|          0
Apr 10, 26|purchased|Milk                |     0.0|        0|          0
Apr 10, 26|purchased|OJ cups             |     1.0|        0|          0
Apr 10, 26|purchased|Orange Juice        |     1.0|        0|          0
Apr 11, 26|consumed |Bacon               |     0.0|       60|         12
Apr 11, 26|consumed |Butter              |     0.0|       44|          9
Apr 11, 26|consumed |Coffee Creamer      |     0.0|       70|         14
Apr 11, 26|consumed |Coffee Stirrer 5"   |     0.0|       70|         14
Apr 11, 26|consumed |Coffee cups, 8 oz   |     0.0|       22|          5
Apr 11, 26|consumed |Coffee, ground      |     0.0|       70|         14
Apr 11, 26|consumed |Cutlery Packets     |     0.0|       44|          9
Apr 11, 26|consumed |Eggs                |     0.0|       97|         20
Apr 11, 26|consumed |Gloves              |     0.0|       10|          2
Apr 11, 26|consumed |Ketchup             |     0.0|        4|          1
Apr 11, 26|consumed |Milk                |     0.0|       32|          7
Apr 11, 26|consumed |OJ cups             |     0.0|       44|          9
Apr 11, 26|consumed |Orange Juice        |     0.0|      198|         40
Apr 11, 26|consumed |Pancake Mix         |     0.0|       73|         15
Apr 11, 26|consumed |Paper Towels        |     0.0|        1|          1
Apr 11, 26|consumed |Place Mats          |     0.0|       44|          9
Apr 11, 26|consumed |Raffle Tickets      |     0.0|      299|         60
Apr 11, 26|consumed |Sausage             |     0.0|       62|         13
Apr 11, 26|consumed |Scrubbers           |     0.0|        1|          1
Apr 11, 26|consumed |Serving Plates      |     0.0|       44|          9
Apr 11, 26|consumed |Splenda             |     0.0|       15|          3
Apr 11, 26|consumed |Sugar               |     0.0|       15|          3
Apr 11, 26|consumed |Sweet'N Low         |     0.0|       15|          3
Apr 11, 26|consumed |Syrup bottle, SF    |     0.0|        3|          1
Apr 11, 26|consumed |Syrup bottle, reg   |     0.0|        3|          1
Apr 11, 26|consumed |Syrup, reg          |     0.0|       73|         15
Apr 11, 26|consumed |Syrup, sugar free   |     0.0|       73|         15
Apr 11, 26|consumed |Tea                 |     0.0|        4|          1
Apr 11, 26|consumed |To-Go Containers    |     0.0|        4|          1

Month_stats
month|next_month|avg_served1|avg_served2|served_fudge|meals_planned1|meals_planned2|num_tables1|num_tables2|table_size|consumed_fudge

Order_stats
item|unit|pkg_size|perishable|inv_units|uncertainty|min_needed1|min1|max1|consumed1|min_next|min_needed2|min2|max2|order|chk_inventory

Steps
